DisplayImage	corrAns	thisN	thisTrialN	thisRepN	ishihara_number.text	ishihara_pics.thisRepN	ishihara_pics.thisTrialN	ishihara_pics.thisN	ishihara_pics.thisIndex	blocks.thisRepN	blocks.thisTrialN	blocks.thisN	blocks.thisIndex	thisRow.t	notes	Settings.started	Settings.stopped	Demographics.started	Demographics.stopped	demographic_form.index	demographic_form.itemText	demographic_form.type	demographic_form.font	demographic_form.markerColor	demographic_form.response	demographic_form.rt	demographic_button.numClicks	demographic_button.timesOn	demographic_button.timesOff	Education.started	Education.stopped	education_form.index	education_form.itemText	education_form.type	education_form.font	education_form.markerColor	education_form.response	education_form.rt	education_button.numClicks	education_button.timesOn	education_button.timesOff	Ishihara.started	Ishihara.stopped	ishihara_pics.ishihara_number.text	no_text_blocks_self_paced.started	no_text_blocks_self_paced.stopped	colour	target	button_pressed	nback_response	nback_RT	duration	text_nr	trial_nr	block_nr	block_name	block_kind	word	global_onset_time	question	chosen_ans	ans_correct	block_nr_exp	n-back_level	text_blocks_self_paced.started	text_blocks_self_paced.stopped	end.started	end.stopped	participant	session	testing_mode	date	expName	psychopyVersion	expStart	
																																edu_profession	Was ist Ihr derzeitiger/letzter Beruf?	free text	None	None	Student	None																															03	01	no	2025-05-27_14h37.00.210	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-27 14h37.27.073151 +0200	
																																							1	[4.878087997436523]	[4.878093719482422]																												03	01	no	2025-05-27_14h37.00.210	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-27 14h37.27.073151 +0200	
																																																																					03	01	no	2025-05-27_14h37.00.210	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-27 14h37.27.073151 +0200	
Stimuli_and_Resources/Ishihara_Colour_Vision_Test/ishihara_test6_15.png	15	0	0	0	15	0	0	0	5					81.09328484535217																												81.07924842834473	85.05445265769958	15																									03	01	no	2025-05-27_14h37.00.210	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-27 14h37.27.073151 +0200	
Stimuli_and_Resources/Ishihara_Colour_Vision_Test/ishihara_test3_21.png	21	1	1	0	21	0	1	1	2					86.12105584144592																												86.10600018501282	89.46553063392639	21																									03	01	no	2025-05-27_14h37.00.210	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-27 14h37.27.073151 +0200	
Stimuli_and_Resources/Ishihara_Colour_Vision_Test/ishihara_test5_23.png	23	2	2	0	23	0	2	2	4					90.51529121398926																												90.50792479515076	92.86781215667725	23																									03	01	no	2025-05-27_14h37.00.210	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-27 14h37.27.073151 +0200	
Stimuli_and_Resources/Ishihara_Colour_Vision_Test/ishihara_test2_17.png	17	3	3	0	17	0	3	3	1					93.92561078071594																												93.91276931762695	97.18675637245178	17																									03	01	no	2025-05-27_14h37.00.210	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-27 14h37.27.073151 +0200	
Stimuli_and_Resources/Ishihara_Colour_Vision_Test/ishihara_test1_70.png	70	4	4	0	70	0	4	4	0					98.23650527000427																												98.2279441356659	104.43256402015686	70																									03	01	no	2025-05-27_14h37.00.210	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-27 14h37.27.073151 +0200	
Stimuli_and_Resources/Ishihara_Colour_Vision_Test/ishihara_test4_78.png	78	5	5	0	78	0	5	5	3					105.47406101226807																												105.46267342567444	107.96817994117737	78																									03	01	no	2025-05-27_14h37.00.210	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-27 14h37.27.073151 +0200	
		0	0	0						0	0	0	0	108.96806931495667																															108.96815371513367	108.96816635131836	#88BA3F	None	None	None	None	798.3274459838867	reading_bl_training_text	1	0	Reading_Baseline_training_click	None	Auf											03	01	no	2025-05-27_14h37.00.210	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-27 14h37.27.073151 +0200	
		0	0	0						0	0	0	0																																		#D292F3	None	None	None	None	373.2190132141113	reading_bl_training_text	2	0	Reading_Baseline_training_click	None	dem											03	01	no	2025-05-27_14h37.00.210	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-27 14h37.27.073151 +0200	
		0	0	0						0	0	0	0																																		#2AB7EF	None	None	None	None	471.9831943511963	reading_bl_training_text	3	0	Reading_Baseline_training_click	None	großen											03	01	no	2025-05-27_14h37.00.210	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-27 14h37.27.073151 +0200	
		0	0	0						0	0	0	0																																		#F989A2	None	None	None	None	938.9646053314209	reading_bl_training_text	4	0	Reading_Baseline_training_click	None	"Passagierdampfer,"											03	01	no	2025-05-27_14h37.00.210	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-27 14h37.27.073151 +0200	
		0	0	0						0	0	0	0																																		#88BA3F	None	None	None	None	590.3134346008301	reading_bl_training_text	5	0	Reading_Baseline_training_click	None	der											03	01	no	2025-05-27_14h37.00.210	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-27 14h37.27.073151 +0200	
		0	0	0						0	0	0	0																																		#F989A2	None	None	None	None	590.2516841888428	reading_bl_training_text	6	0	Reading_Baseline_training_click	None	um											03	01	no	2025-05-27_14h37.00.210	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-27 14h37.27.073151 +0200	
		0	0	0						0	0	0	0																																		#88BA3F	None	None	None	None	497.75052070617676	reading_bl_training_text	7	0	Reading_Baseline_training_click	None	Mitternacht											03	01	no	2025-05-27_14h37.00.210	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-27 14h37.27.073151 +0200	
		0	0	0						0	0	0	0																																		#2AB7EF	None	None	None	None	447.8120803833008	reading_bl_training_text	8	0	Reading_Baseline_training_click	None	von											03	01	no	2025-05-27_14h37.00.210	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-27 14h37.27.073151 +0200	
		0	0	0						0	0	0	0																																		#D292F3	None	None	None	None	632.2827339172363	reading_bl_training_text	9	0	Reading_Baseline_training_click	None	New											03	01	no	2025-05-27_14h37.00.210	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-27 14h37.27.073151 +0200	
		0	0	0						0	0	0	0																																		#F989A2	None	None	None	None	414.7636890411377	reading_bl_training_text	10	0	Reading_Baseline_training_click	None	York											03	01	no	2025-05-27_14h37.00.210	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-27 14h37.27.073151 +0200	
		0	0	0						0	0	0	0																																		#D292F3	None	None	None	None	640.772819519043	reading_bl_training_text	11	0	Reading_Baseline_training_click	None	nach											03	01	no	2025-05-27_14h37.00.210	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-27 14h37.27.073151 +0200	
		0	0	0						0	0	0	0																																		#2AB7EF	None	None	None	None	714.0274047851562	reading_bl_training_text	12	0	Reading_Baseline_training_click	None	Buenos											03	01	no	2025-05-27_14h37.00.210	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-27 14h37.27.073151 +0200	
		0	0	0						0	0	0	0																																		#88BA3F	None	None	None	None	766.477108001709	reading_bl_training_text	13	0	Reading_Baseline_training_click	None	Aires											03	01	no	2025-05-27_14h37.00.210	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-27 14h37.27.073151 +0200	
		0	0	0						0	0	0	0																																		#88BA3F	None	None	None	None	704.5142650604248	reading_bl_training_text	14	0	Reading_Baseline_training_click	None	abgehen											03	01	no	2025-05-27_14h37.00.210	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-27 14h37.27.073151 +0200	
		0	0	0						0	0	0	0																																		#D292F3	None	None	None	None	973.9100933074951	reading_bl_training_text	15	0	Reading_Baseline_training_click	None	"sollte,"											03	01	no	2025-05-27_14h37.00.210	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-27 14h37.27.073151 +0200	
		0	0	0						0	0	0	0																																		#2AB7EF	None	None	None	None	639.3110752105713	reading_bl_training_text	16	0	Reading_Baseline_training_click	None	herrschte											03	01	no	2025-05-27_14h37.00.210	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-27 14h37.27.073151 +0200	
