thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,settings.started,settings.stopped,colour,global_onset_time,target,button_pressed,nback_response,nback_RT,RT,text_nr,trial_nr,block_nr_exp,block_name,n-back_level,word,nontarget_triggers_sent_this_condition,target_triggers_sent_this_condition,total_triggers_sent_this_condition,minimum_triggers_this_condition,maximum_triggers_this_block,trigger_time,question,chosen_ans,ans_correct,participant,session,TMS_port,testing_mode,skip_reading,date,expName,psychopyVersion,expStart,
0,0,0,0,0,0,0,,,,,#88BA3F,56.58618927001953,None,space,None,None,537.2896194458008,text_38,47,1,Reading_Baseline_main_click,None,Christus.,7,0,7,60,60,,,,,19,03,yes,no,no,2025-07-30_15h52.46.442,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-07-30 15h54.35.488184 +0200,
0,0,0,0,0,0,0,,,,,#88BA3F,57.17859673500061,None,space,None,None,504.86087799072266,text_38,48,1,Reading_Baseline_main_click,None,Sie,7,0,7,60,60,,,,,19,03,yes,no,no,2025-07-30_15h52.46.442,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-07-30 15h54.35.488184 +0200,
0,0,0,0,0,0,0,,,,,#88BA3F,57.73866844177246,None,space,None,None,664.8309230804443,text_38,49,1,Reading_Baseline_main_click,None,spielten,7,0,7,60,60,,,,,19,03,yes,no,no,2025-07-30_15h52.46.442,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-07-30 15h54.35.488184 +0200,
0,0,0,0,0,0,0,,,,,#D292F3,58.459335803985596,None,space,None,None,488.248348236084,text_38,50,1,Reading_Baseline_main_click,None,eine,7,0,7,60,60,,,,,19,03,yes,no,no,2025-07-30_15h52.46.442,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-07-30 15h54.35.488184 +0200,
0,0,0,0,0,0,0,,,,,#D292F3,59.0041229724884,None,space,None,None,487.3514175415039,text_38,51,1,Reading_Baseline_main_click,None,wichtige,7,0,7,60,60,,,,,19,03,yes,no,no,2025-07-30_15h52.46.442,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-07-30 15h54.35.488184 +0200,
0,0,0,0,0,0,0,,,,,#F989A2,59.545368909835815,None,space,None,None,473.9956855773926,text_38,52,1,Reading_Baseline_main_click,None,Rolle,7,0,7,60,60,,,,,19,03,yes,no,no,2025-07-30_15h52.46.442,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-07-30 15h54.35.488184 +0200,
0,0,0,0,0,0,0,,,,,#88BA3F,60.072160482406616,None,space,None,None,475.4011631011963,text_38,53,1,Reading_Baseline_main_click,None,im,8,0,8,60,60,60.483044147491455,,,,19,03,yes,no,no,2025-07-30_15h52.46.442,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-07-30 15h54.35.488184 +0200,
0,0,0,0,0,0,0,,,,,#2AB7EF,60.60277819633484,None,space,None,None,440.77324867248535,text_38,54,1,Reading_Baseline_main_click,None,Leben,8,0,8,60,60,,,,,19,03,yes,no,no,2025-07-30_15h52.46.442,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-07-30 15h54.35.488184 +0200,
0,0,0,0,0,0,0,,,,,#88BA3F,61.08325266838074,None,space,None,None,488.2228374481201,text_38,55,1,Reading_Baseline_main_click,None,der,8,0,8,60,60,,,,,19,03,yes,no,no,2025-07-30_15h52.46.442,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-07-30 15h54.35.488184 +0200,
0,0,0,0,0,0,0,,,,,#2AB7EF,61.6100652217865,None,space,None,None,473.2205867767334,text_38,56,1,Reading_Baseline_main_click,None,"Nomaden,",8,0,8,60,60,,,,,19,03,yes,no,no,2025-07-30_15h52.46.442,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-07-30 15h54.35.488184 +0200,
0,0,0,0,0,0,0,,,,,#F989A2,62.12363266944885,None,space,None,None,455.8725357055664,text_38,57,1,Reading_Baseline_main_click,None,etwa,8,0,8,60,60,,,,,19,03,yes,no,no,2025-07-30_15h52.46.442,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-07-30 15h54.35.488184 +0200,
0,0,0,0,0,0,0,,,,,#D292F3,62.61880803108215,None,space,None,None,472.80001640319824,text_38,58,1,Reading_Baseline_main_click,None,als,8,0,8,60,60,,,,,19,03,yes,no,no,2025-07-30_15h52.46.442,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-07-30 15h54.35.488184 +0200,
0,0,0,0,0,0,0,,,,,#2AB7EF,63.13251209259033,None,space,None,None,439.09549713134766,text_38,59,1,Reading_Baseline_main_click,None,Mittel,8,0,8,60,60,,,,,19,03,yes,no,no,2025-07-30_15h52.46.442,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-07-30 15h54.35.488184 +0200,
0,0,0,0,0,0,0,,,,,#F989A2,63.61076903343201,None,space,None,None,424.8499870300293,text_38,60,1,Reading_Baseline_main_click,None,zur,8,0,8,60,60,,,,,19,03,yes,no,no,2025-07-30_15h52.46.442,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-07-30 15h54.35.488184 +0200,
0,0,0,0,0,0,0,,,,,#D292F3,64.07639622688293,None,space,None,None,663.111686706543,text_38,61,1,Reading_Baseline_main_click,None,Fortbewegung,8,0,8,60,60,,,,,19,03,yes,no,no,2025-07-30_15h52.46.442,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-07-30 15h54.35.488184 +0200,
0,0,0,0,0,0,0,,,,,#F989A2,64.78000974655151,None,space,None,None,679.5685291290283,text_38,62,1,Reading_Baseline_main_click,None,und,8,0,8,60,60,,,,,19,03,yes,no,no,2025-07-30_15h52.46.442,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-07-30 15h54.35.488184 +0200,
0,0,0,0,0,0,0,,,,,#D292F3,65.5007061958313,None,space,None,None,470.93820571899414,text_38,63,1,Reading_Baseline_main_click,None,auch,9,0,9,60,60,65.55352878570557,,,,19,03,yes,no,no,2025-07-30_15h52.46.442,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-07-30 15h54.35.488184 +0200,
0,0,0,0,0,0,0,,,,,#F989A2,66.01175355911255,None,space,None,None,391.8278217315674,text_38,64,1,Reading_Baseline_main_click,None,im,9,0,9,60,60,,,,,19,03,yes,no,no,2025-07-30_15h52.46.442,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-07-30 15h54.35.488184 +0200,
0,0,0,0,0,0,0,,,,,#88BA3F,66.44314074516296,None,space,None,None,456.47192001342773,text_38,65,1,Reading_Baseline_main_click,None,Krieg.,9,0,9,60,60,,,,,19,03,yes,no,no,2025-07-30_15h52.46.442,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-07-30 15h54.35.488184 +0200,
0,0,0,0,0,0,0,,,,,#2AB7EF,66.94087386131287,None,space,None,None,438.7693405151367,text_38,66,1,Reading_Baseline_main_click,None,Besonders,9,0,9,60,60,,,,,19,03,yes,no,no,2025-07-30_15h52.46.442,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-07-30 15h54.35.488184 +0200,
0,0,0,0,0,0,0,,,,,#D292F3,67.42073512077332,None,space,None,None,374.9260902404785,text_38,67,1,Reading_Baseline_main_click,None,störend,9,0,9,60,60,,,,,19,03,yes,no,no,2025-07-30_15h52.46.442,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-07-30 15h54.35.488184 +0200,
0,0,0,0,0,0,0,,,,,#2AB7EF,67.83640146255493,None,space,None,None,439.1179084777832,text_38,68,1,Reading_Baseline_main_click,None,waren,9,0,9,60,60,,,,,19,03,yes,no,no,2025-07-30_15h52.46.442,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-07-30 15h54.35.488184 +0200,
0,0,0,0,0,0,0,,,,,#2AB7EF,68.31559920310974,None,space,None,None,440.030574798584,text_38,69,1,Reading_Baseline_main_click,None,sogenannte,9,0,9,60,60,,,,,19,03,yes,no,no,2025-07-30_15h52.46.442,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-07-30 15h54.35.488184 +0200,
0,0,0,0,0,0,0,,,,,#88BA3F,68.79741716384888,None,space,None,None,694.2012310028076,text_38,70,1,Reading_Baseline_main_click,None,"Wolfszähne,",9,0,9,60,60,,,,,19,03,yes,no,no,2025-07-30_15h52.46.442,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-07-30 15h54.35.488184 +0200,
0,0,0,0,0,0,0,,,,,#88BA3F,69.53232288360596,None,space,None,None,519.3221569061279,text_38,71,1,Reading_Baseline_main_click,None,die,9,0,9,60,60,,,,,19,03,yes,no,no,2025-07-30_15h52.46.442,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-07-30 15h54.35.488184 +0200,
